"month","year",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,"1998",-1,-1,-1,1,1,0,-1,0,-1,-6,-6,0,-7,-11,-6,-2,0,-2,-3,-5,-4,-5,-6,-4,-6,-2,0,-4,-10,-12,-13
2,"1998",-15,-14,-6,-7,-7,-6,-13,-11,-3,1,3,1,-17,-15,-20,-7,-12,-16,3,-1,3,5,6,3,-12,-9,2,6,,,
3,"1998",2,3,0,0,6,0,0,-3,1,0,-5,-4,1,0,0,-1,-5,-5,-1,-1,0,0,4,4,6,6,8,7,8,8,5
4,"1998",-3,-3,-4,0,0,1,3,8,3,1,5,0,0,-1,2,6,7,10,4,5,12,14,17,14,12,14,19,19,22,19,
5,"1998",18,23,18,17,18,14,17,16,18,18,21,24,6,11,18,21,22,15,21,17,10,12,15,16,16,14,,,,,
6,"1998",20,24,24,27,23,20,25,28,26,30,29,29,33,33,23,24,24,29,30,24,18,18,13,12,14,12,16,22,21,,
7,"1998",17,21,17,13,17,20,20,19,21,27,21,17,13,19,24,20,25,24,19,19,24,25,25,28,27,23,20,24,25,28,28
8,"1998",29,28,24,24,23,22,19,17,17,17,14,10,10,15,12,19,19,19,20,16,18,23,16,18,15,16,13,13,15,17,11
9,"1998",7,11,12,9,13,13,16,16,19,20,22,22,23,21,21,12,13,19,19,13,12,11,11,10,7,8,11,11,7,3,
10,"1998",2,4,6,9,7,4,5,8,3,8,12,11,9,10,9,6,6,14,9,7,3,6,7,12,10,8,9,7,7,6,5
11,"1998",5,4,2,1,1,1,1,-2,-4,-11,-10,-12,-9,-6,-9,-10,-12,-10,-12,-14,-14,-11,-3,-6,-6,-7,-3,-7,-14,-16,
12,"1998",-14,-9,-4,-5,-6,-2,-2,-4,-8,-8,-2,-10,-15,-15,-13,0,1,1,2,1,1,-10,-11,-14,-5,-1,2,2,3,1,-2
1,"1999",-4,-6,-4,-4,0,0,1,-11,-11,-7,-11,-14,-9,-2,0,0,-1,0,-2,-2,0,3,1,1,-2,1,-8,-1,0,-9,-14
2,"1999",-8,-18,-21,-3,-5,-4,-4,-3,-1,-1,0,0,-2,-3,-3,-2,1,0,0,-1,-3,,,,,,,,,,
3,"1999",-2,0,2,1,1,2,0,-7,-5,-2,-4,-2,0,-1,-2,1,4,4,0,4,3,-2,2,6,3,8,11,13,14,14,15
4,"1999",15,14,3,-1,0,1,5,7,8,9,9,12,7,9,14,18,20,20,20,19,17,16,17,19,20,20,22,23,23,9,
5,"1999",7,6,1,3,5,7,9,3,5,11,3,2,8,9,10,12,14,12,10,10,11,19,22,21,22,24,22,19,18,25,10
6,"1999",11,17,21,24,25,25,28,28,29,29,30,27,22,22,28,29,25,24,21,24,25,27,29,30,31,30,26,28,28,28,
7,"1999",30,30,30,26,25,28,32,25,22,21,21,28,28,30,31,30,29,19,23,22,21,22,28,22,27,27,26,16,20,23,17
8,"1999",21,21,22,23,22,21,25,20,13,14,19,20,23,23,20,16,18,20,21,22,22,18,18,18,18,20,21,21,17,15,14
9,"1999",14,16,19,23,22,23,25,23,24,18,10,7,7,8,10,8,11,13,14,10,13,16,17,15,17,16,12,14,17,16,
10,"1999",20,16,18,21,22,23,19,17,11,13,9,10,8,7,7,8,3,0,0,0,2,4,6,3,4,4,11,9,5,4,7
11,"1999",3,9,8,6,0,-2,-4,-6,-3,-2,-3,0,-2,2,-1,-8,-3,-2,-10,-7,-9,-4,-4,-12,-13,-10,-11,-9,0,3,
12,"1999",1,2,0,0,1,-4,-2,1,-1,1,2,1,5,0,0,1,-2,-2,-1,-2,-2,-7,-1,-4,-6,-8,-6,-1,-1,-1,-3
1,"2000",-4,-6,-8,-5,1,0,-4,0,1,0,0,0,0,-4,-3,-5,-4,-5,-4,-10,-12,-15,-13,-12,-16,-19,-10,-1,0,-1,0
2,"2000",-5,-1,1,-5,0,-3,2,3,2,2,0,2,2,1,1,0,2,0,1,2,1,-6,-7,-10,-6,-7,-9,1,4,,
3,"2000",5,2,2,2,2,1,-1,1,0,-3,-2,-3,-1,0,3,0,0,1,0,2,"undefined",2,0,2,2,3,6,8,,,
4,"2000",5,6,5,2,2,7,10,12,13,12,16,16,16,16,22,16,18,17,12,19,22,20,20,23,25,23,21,15,17,9,
5,"2000",5,5,10,7,13,14,11,15,13,13,18,6,2,5,12,6,10,11,14,18,20,20,17,20,22,23,21,25,22,29,24
6,"2000",17,15,22,22,18,19,18,14,15,15,21,28,18,26,23,16,14,12,15,13,14,20,23,23,23,28,27,21,14,18,
7,"2000",18,23,22,20,23,24,25,24,26,24,28,26,25,20,21,24,23,22,26,23,26,20,20,22,17,19,17,22,,,
8,"2000",21,22,22,21,19,19,23,23,19,18,20,21,21,19,22,23,20,20,19,19,18,23,18,16,14,16,19,20,21,23,21
9,"2000",18,21,15,17,19,16,12,12,14,15,14,12,13,10,8,8,9,13,15,13,8,9,11,16,17,10,8,10,15,16,
10,"2000",17,17,17,14,15,13,10,10,9,9,8,9,9,12,8,8,7,6,5,8,8,7,6,8,7,8,11,4,3,8,11
11,"2000",9,10,8,8,5,3,2,0,0,-2,0,0,2,2,5,8,3,2,5,3,0,-6,-10,-10,-7,-8,-8,-6,0,0,
12,"2000",1,3,0,1,1,0,1,0,-1,0,0,1,3,1,1,2,-3,-6,-8,-7,-5,-8,-3,-5,-4,-5,-13,-12,-5,0,-3
1,"2001",0,-1,-3,-2,-2,-1,1,2,0,0,-1,-2,-16,-11,-1,-1,0,-2,-5,-6,-5,-10,-12,-10,-6,-3,-1,1,2,0,0
2,"2001",-3,-11,-11,-11,-11,-14,-13,-4,1,2,-3,-4,1,-6,1,1,0,-1,-13,-12,-2,-4,-1,-3,-11,-9,-7,-7,,,
3,"2001",-1,-3,0,0,-1,0,1,-4,-1,0,4,4,5,11,4,2,2,1,0,2,1,-1,-1,-1,-1,0,-2,-3,-2,-1,6
4,"2001",10,4,11,14,17,14,5,10,14,17,17,18,11,15,11,9,7,14,12,11,14,16,20,22,24,25,23,19,14,17,
5,"2001",20,16,10,19,22,23,14,11,15,20,8,6,5,10,12,16,23,22,22,13,6,12,6,14,12,9,10,14,14,10,9
6,"2001",11,11,17,20,22,21,14,16,21,16,19,15,14,13,17,19,23,24,25,18,25,19,18,20,22,22,19,23,23,24,
7,"2001",27,26,29,25,26,29,28,25,18,21,27,24,27,26,28,24,28,31,29,31,32,32,30,17,24,27,28,26,22,25,25
8,"2001",17,19,18,18,23,21,22,23,25,27,27,18,17,19,22,23,26,28,24,23,,,,,,,,,,,
9,"2001",12,14,14,13,18,19,21,15,15,20,17,24,21,16,19,21,21,21,20,19,20,19,19,16,7,9,9,11,9,5,
10,"2001",8,7,12,15,12,13,9,7,10,13,11,5,0,1,1,4,9,8,8,1,-2,1,1,-1,0,3,6,5,5,6,7
11,"2001",9,2,2,8,7,0,2,3,6,2,2,4,0,0,-4,0,-6,0,1,-3,-7,-4,-7,-2,1,1,0,0,-6,-8,
12,"2001",-4,-7,-5,-7,-10,-12,-11,-8,-11,-10,-14,-13,-13,-10,-11,-15,-12,-11,-11,-4,-11,-6,-12,-11,-15,-6,-3,-3,-3,-2,-6
1,"2002",-12,-15,-19,-13,-5,0,-19,-20,-1,0,1,1,0,0,0,1,0,-2,-1,-3,-2,0,1,3,3,-1,-1,-5,0,1,-10
2,"2002",-10,-8,3,5,3,6,2,3,1,2,3,1,2,0,-2,2,2,3,2,1,-1,-6,-2,2,1,0,0,3,,,
3,"2002",2,0,-2,-1,1,4,8,-1,1,8,2,8,9,7,0,3,7,10,11,3,4,6,7,2,1,6,8,4,13,8,4
4,"2002",7,0,-1,-2,-2,3,7,8,12,11,12,16,17,16,16,15,6,11,14,16,15,14,16,18,15,17,14,19,13,17,
5,"2002",20,22,22,22,24,23,15,18,22,16,11,15,20,18,21,22,11,11,7,3,11,17,14,17,14,16,17,16,20,20,21
6,"2002",24,25,23,20,16,15,20,17,17,21,24,26,24,16,14,15,17,22,26,29,26,21,20,16,17,18,19,24,26,19,
7,"2002",22,25,28,29,30,26,27,30,22,25,25,29,30,29,25,21,23,21,24,27,31,32,31,29,27,22,25,27,29,29,29
8,"2002",31,30,18,22,20,16,17,18,16,19,22,27,26,26,24,25,20,16,18,27,19,14,17,18,19,17,20,25,26,27,25
9,"2002",28,23,24,23,22,24,23,22,22,21,9,12,16,17,15,15,10,8,10,7,9,11,10,10,12,15,13,5,8,13,
10,"2002",11,6,4,3,6,3,5,2,5,1,1,1,0,2,2,1,6,10,9,4,0,0,0,2,7,2,2,6,7,2,1
11,"2002",1,1,0,-2,-2,-1,1,-1,0,-1,-3,-4,-4,1,1,4,3,7,3,5,"undefined",1,-4,-5,-5,-2,1,0,-15,-13,
12,"2002",-14,-10,-6,-6,-9,-12,-9,-16,-12,-10,-7,-1,-11,-14,-8,-10,-8,-10,-12,-10,-7,-8,-13,-17,-8,-13,-16,-21,-18,-5,-18
1,"2003",-21,-9,-5,-6,-10,-21,-23,-18,-10,-8,-23,-13,-5,-12,0,2,0,2,0,0,"undefined",0,-5,-3,-3,0,0,0,-1,0,-2
2,"2003",-11,-15,-13,-14,-9,-8,-8,-2,-6,-10,-9,-2,-2,-14,-9,-4,-3,0,-5,-4,1,0,-2,-3,-2,-2,-3,,,,
3,"2003",-5,-5,-2,-1,-1,0,1,1,-1,-1,0,1,3,5,6,2,2,1,1,-1,-3,-1,2,4,-1,5,10,7,9,5,
4,"2003",1,-3,3,4,3,2,2,1,7,2,2,9,8,10,10,7,12,13,13,14,14,17,17,15,1,0,2,2,10,12,
5,"2003",19,15,16,9,10,16,24,15,17,22,24,22,20,25,23,20,10,14,20,19,24,27,27,20,25,22,26,20,16,13,20
6,"2003",17,7,5,14,14,18,11,14,22,23,14,15,16,12,17,12,15,16,12,18,19,18,17,11,12,14,,,,,
7,"2003",15,21,25,25,27,27,27,22,24,20,22,20,22,25,27,26,18,23,22,20,22,26,26,25,26,25,28,29,29,26,25
8,"2003",23,26,28,28,28,21,20,20,19,20,21,19,16,15,24,20,19,19,20,21,16,19,19,21,15,17,15,14,15,15,17
9,"2003",18,13,16,11,11,11,15,7,13,12,17,19,17,16,19,20,16,15,17,13,11,14,18,22,10,13,13,16,17,19,
10,"2003",17,17,19,15,12,12,8,13,14,10,10,11,9,9,7,3,6,6,6,4,4,1,-1,-2,-1,0,-3,-2,3,5,4
11,"2003",1,1,2,7,6,7,7,6,2,4,3,1,2,0,0,1,-3,0,-2,0,0,0,-2,0,3,3,1,0,1,0,
12,"2003",-1,-1,0,0,-1,-1,-2,0,-2,-4,-1,0,-2,-3,1,0,-1,-3,-5,0,1,2,1,-8,-2,-4,-1,0,-1,2,2
1,"2004",-1,-2,-4,-5,-12,-13,-15,-15,-12,-5,-3,0,-3,-3,-2,0,-3,0,-5,-3,-7,-9,-13,-8,-5,-4,-4,-8,-3,2,0
2,"2004",-6,-2,-10,-8,-1,1,-2,-3,-6,-3,-11,-12,-13,-9,-7,-4,-11,-11,-11,-12,-3,0,-2,-1,0,1,1,3,1,,
3,"2004",2,0,0,-3,-7,-4,-1,2,1,0,3,5,7,5,4,3,3,5,3,2,5,4,8,12,11,9,6,6,5,10,3
4,"2004",-4,-4,-2,5,9,10,8,4,9,8,11,11,6,8,7,5,8,12,15,15,17,6,8,8,10,9,4,5,9,10,
5,"2004",8,15,17,20,21,23,23,21,18,17,18,16,3,7,12,16,15,10,12,9,9,15,16,11,13,11,18,15,18,19,18
6,"2004",16,13,16,15,19,21,21,22,16,9,14,18,13,20,15,16,11,12,17,22,25,26,15,23,18,19,25,18,19,21,
7,"2004",21,23,21,17,12,17,21,22,22,25,25,23,21,24,23,20,18,19,23,23,21,20,26,23,24,23,26,27,27,25,26
8,"2004",25,24,25,23,25,24,21,25,27,19,17,16,16,13,15,17,22,26,26,26,29,28,23,19,18,20,22,23,20,20,25
9,"2004",26,21,17,15,15,19,13,12,9,10,12,18,16,19,22,19,11,15,16,19,20,15,10,12,14,15,10,12,12,16,
10,"2004",13,9,7,5,7,12,16,11,10,4,2,3,4,5,7,6,8,9,7,8,6,7,5,9,4,9,12,7,5,3,2
11,"2004",4,3,2,5,6,9,6,4,4,2,2,1,6,3,2,2,-1,-2,-2,-4,-6,-8,-6,-8,-9,-4,-4,-8,-9,-11,
12,"2004",-8,-2,-2,-5,0,1,1,2,1,-2,-4,0,-3,-8,-8,-2,0,-1,2,0,-2,-4,-7,-6,-2,2,1,0,-3,-7,0
1,"2005",0,0,0,0,0,0,1,4,4,0,2,3,3,3,1,-5,0,-1,-1,-4,0,0,0,-4,-9,-11,-15,-9,-13,-10,-9
2,"2005",-6,-8,-10,-8,-8,-7,-6,-3,-8,-9,-9,-7,-10,-5,-2,0,-2,-3,-4,-3,-10,-8,-5,-4,-6,-6,-6,-8,,,
3,"2005",-10,-9,-5,-1,-3,-4,-4,-2,-2,-5,-6,-8,1,-3,0,-5,-2,0,-7,-9,-5,0,-1,0,0,2,-2,-5,-4,-2,0
4,"2005",3,6,7,7,13,16,11,14,14,15,5,10,16,16,9,18,11,11,7,3,3,8,2,3,8,10,15,15,16,16,
5,"2005",14,7,9,16,20,19,13,19,18,11,14,12,11,12,16,19,22,23,26,11,21,23,29,27,20,20,23,24,20,18,14
6,"2005",16,13,16,18,19,24,18,22,16,17,23,26,23,20,21,23,18,19,18,10,11,18,21,23,25,16,19,20,18,14,
7,"2005",17,15,20,21,23,21,20,19,20,18,19,25,23,23,27,28,27,23,19,25,26,24,21,26,21,22,24,23,23,23,25
8,"2005",26,25,23,22,25,25,25,25,27,23,16,23,23,22,22,22,22,20,15,18,22,19,20,19,20,21,22,20,19,19,13
9,"2005",16,17,14,18,16,16,21,22,25,21,13,19,16,16,19,16,11,9,15,13,15,15,16,16,16,15,15,16,18,21,
10,"2005",21,20,19,19,12,12,11,12,14,15,16,15,14,12,8,8,9,6,4,6,6,8,11,11,1,-1,0,-1,0,3,3
11,"2005",5,7,8,9,9,9,6,4,3,2,0,1,0,2,5,0,3,2,0,0,1,0,-1,-3,-4,1,2,1,2,0,
12,"2005",0,-2,-1,-3,-4,-4,-4,1,-9,-7,-4,0,1,-2,-1,0,-4,0,-1,-4,-5,-3,-6,-8,-9,-8,-10,-9,-2,1,-2
1,"2006",-6,-4,-9,-14,-13,-11,-2,0,-1,-4,-2,0,1,0,0,-8,-20,-27,-25,-24,-21,-19,-16,-14,-8,-9,-5,-4,-6,-1,-12
2,"2006",-15,-16,-17,-16,-19,-21,-20,-18,-15,-13,-12,-9,-9,-10,-9,-10,-8,-5,-5,-3,-3,1,0,"undefined",-5,-6,-3,-5,,,
3,"2006",-4,-5,-5,-1,-8,-2,-4,-4,-5,-2,-4,-2,2,2,0,4,7,7,2,-2,0,-3,0,-2,0,2,1,5,4,8,4
4,"2006",7,5,4,10,10,9,3,6,4,11,14,9,9,9,8,4,12,10,10,13,11,11,6,9,11,13,13,10,11,11,
5,"2006",15,18,20,21,21,22,18,11,14,12,13,10,16,23,16,13,12,15,17,14,21,15,21,22,17,17,11,12,16,10,17
6,"2006",16,18,19,25,26,14,10,15,14,19,11,16,21,24,20,16,20,24,24,26,27,29,25,22,28,25,23,28,25,21,
7,"2006",11,17,20,18,25,20,24,28,29,27,29,30,27,30,26,21,15,24,16,18,17,19,21,21,25,26,14,13,13,19,14
8,"2006",19,21,20,21,16,19,20,20,15,13,18,16,21,24,26,21,24,25,27,20,24,22,19,21,19,21,22,22,21,18,16
9,"2006",14,18,20,18,15,17,18,18,15,12,16,17,15,20,10,10,16,18,18,20,16,19,20,22,20,12,16,18,17,15,
10,"2006",11,11,14,14,14,13,13,14,12,10,8,8,9,5,2,0,2,5,6,3,2,11,12,12,13,6,6,7,2,0,1
11,"2006",4,2,0,-2,-2,-2,-2,3,2,0,-4,-1,1,1,0,0,-1,0,-1,1,1,3,0,2,5,5,6,5,4,4,
12,"2006",5,4,3,4,1,4,6,5,6,4,4,4,3,3,8,5,4,1,-3,-6,-5,0,0,0,-5,-7,0,2,-4,-2,0
1,"2007",3,3,4,2,2,2,3,1,2,6,8,2,3,1,3,0,4,3,5,0,-1,3,-6,-9,-9,-11,-8,-6,-9,-10,-9
2,"2007",-9,-13,-8,-4,-3,-3,-12,-15,-13,-11,-10,-8,-6,-1,-4,-9,-7,-5,-3,-11,-16,-18,-15,-7,-8,-7,-5,-6,,,
3,"2007",-2,2,2,1,1,3,2,7,6,3,6,3,6,8,4,8,4,6,5,15,13,13,13,12,9,11,13,14,16,17,15
4,"2007",9,13,14,8,7,1,3,0,2,5,7,11,6,7,9,13,16,16,14,13,7,6,7,9,11,17,19,12,5,7,
5,"2007",10,6,7,8,7,12,17,16,15,17,11,11,15,17,21,28,18,26,28,25,27,29,22,22,24,28,31,33,32,32,31
6,"2007",18,17,20,23,18,21,19,20,20,17,16,20,24,28,29,17,25,24,23,21,19,20,21,25,23,24,22,21,,,
7,"2007",17,21,18,23,26,27,19,19,21,19,29,32,21,23,23,23,26,27,20,22,18,22,25,18,19,21,20,24,23,20,
8,"2007",23,16,21,18,22,25,28,25,23,25,27,29,31,32,30,28,31,26,33,30,32,32,25,20,20,19,16,15,11,,
9,"2007",12,15,19,23,20,21,22,12,9,8,13,15,16,9,12,12,11,18,21,11,16,17,18,17,19,20,19,21,23,23,
10,"2007",22,21,18,14,10,11,10,11,8,10,4,5,8,1,0,1,10,12,9,7,10,8,10,10,6,7,7,6,5,3,8
11,"2007",8,5,1,1,-2,-3,-3,-2,-3,-1,0,-3,-2,-2,-3,-3,-2,-6,-7,-1,-4,-2,0,1,1,3,1,-1,-4,-1,
12,"2007",-7,-8,-7,3,2,1,1,-2,0,2,-2,-3,-3,-4,-3,0,-2,-1,0,2,0,2,-6,0,-2,-1,-2,-3,-2,-2,-3
1,"2008",-10,-8,-12,-12,-16,-14,-13,-12,-11,-5,-5,-1,0,1,1,-1,-2,-1,-3,-3,0,-1,0,-5,-3,2,-1,-4,-6,-4,1
2,"2008",1,1,1,2,0,0,3,2,2,2,1,-1,-4,-2,-7,-11,-8,-2,-3,-6,-2,2,3,0,4,3,3,5,1,,
3,"2008",4,4,2,3,0,2,2,1,3,2,0,2,6,5,7,4,3,3,3,2,1,4,3,5,14,6,6,6,7,9,9
4,"2008",11,12,14,16,15,19,17,18,16,21,20,14,20,8,3,7,6,8,11,7,5,10,10,13,14,18,18,19,20,20,
5,"2008",20,19,16,19,20,11,4,12,14,13,17,21,18,9,8,13,15,22,23,24,13,12,8,8,7,16,19,18,19,17,13
6,"2008",12,19,15,16,16,20,13,13,22,15,25,22,22,23,18,21,21,17,21,22,23,15,21,20,17,18,20,21,18,17,
