"month","year",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
7,"2008",22,23,21,22,23,16,20,25,20,23,16,24,28,30,30,29,27,23,26,24,24,25,24,26,26,24,20,15,16,16,18
8,"2008",21,23,17,14,14,12,12,19,23,18,20,24,26,30,27,28,32,31,21,25,21,24,25,26,14,13,18,17,11,10,
9,"2008",11,14,20,25,27,23,28,27,15,9,7,8,13,9,8,7,8,9,12,13,17,12,14,14,14,11,10,12,12,11,
10,"2008",10,15,18,18,18,19,12,13,8,7,9,12,10,10,11,11,10,9,7,8,10,13,11,7,8,7,9,10,9,10,12
11,"2008",12,9,5,5,5,1,1,1,5,6,7,9,6,5,4,8,5,0,-2,0,2,0,4,1,2,0,0,4,3,1,
12,"2008",3,2,7,7,6,7,7,1,3,-2,0,-1,1,-4,-5,-5,-6,-6,-4,-2,-7,-7,-6,-4,-5,-5,-8,-4,-4,0,-2
1,"2009",-4,-10,-12,-12,-11,-11,-9,-12,-11,-14,-6,0,1,-1,-2,-1,-2,-4,-5,-5,-5,-1,1,-3,0,-1,-1,0,1,-4,-14
2,"2009",-17,-13,-7,-8,-7,-10,-5,2,1,0,-2,1,0,-1,1,0,0,1,-1,-1,-4,-10,-9,-7,-5,0,-1,0,,,
3,"2009",0,0,2,-1,3,1,-1,-1,1,2,3,4,3,2,-1,-1,5,3,4,4,0,-2,2,0,3,0,3,5,8,7,5
4,"2009",8,3,2,2,3,8,3,3,3,4,8,12,14,15,17,1,7,5,1,3,3,4,9,12,15,20,23,23,25,9,
5,"2009",13,16,20,23,24,20,14,19,22,20,22,18,14,9,12,8,11,17,18,19,13,17,14,12,17,19,23,26,24,23,24
6,"2009",26,25,21,18,18,15,18,21,21,26,19,27,28,21,20,22,15,16,17,15,17,22,24,18,14,17,25,27,21,20,
7,"2009",23,24,19,13,11,13,19,21,21,15,24,26,28,27,23,28,28,27,28,26,22,21,22,24,24,25,22,23,23,25,25
8,"2009",25,20,20,17,21,21,16,19,15,21,24,24,24,16,14,20,26,23,19,15,12,17,15,15,16,19,20,19,19,21,17
9,"2009",21,24,24,24,25,17,17,18,21,22,21,18,19,21,20,21,19,11,13,15,18,19,16,13,9,12,14,13,"undefined",9,
10,"2009",10,7,9,12,12,8,10,16,7,5,7,8,12,17,11,11,6,6,5,7,7,7,10,7,4,4,6,7,3,-1,0
11,"2009",0,1,0,-2,-1,-1,3,5,3,2,2,2,8,4,3,0,0,1,2,2,3,6,4,5,5,6,7,5,5,4,
12,"2009",3,9,8,5,-2,-5,-6,-6,-3,-4,-6,-7,-6,-19,-23,-20,-18,-16,-15,-13,-7,-13,0,2,-1,3,1,-2,-4,-10,-7
1,"2010",-10,-13,-19,-15,-13,-13,-10,-6,-13,-16,-12,-11,-7,-8,-9,-8,-14,-15,-15,-14,-14,-17,-17,-16,-16,-21,-17,-15,-13,-12,-9
2,"2010",-1,-3,-3,-7,-11,-9,-9,-12,-8,-12,-11,-11,-12,-11,-7,-8,-9,-7,-7,-12,-13,-11,-3,2,0,3,2,-3,,,
3,"2010",0,2,2,1,-3,-4,-5,-6,-4,0,5,2,1,-1,-5,-7,-6,-2,-1,4,5,3,3,2,2,8,9,10,8,13,12
4,"2010",11,14,14,13,11,15,17,16,15,14,15,11,10,15,12,14,12,9,18,11,16,12,7,9,4,7,13,11,12,13,
5,"2010",21,21,19,21,24,9,22,27,25,22,26,26,24,21,23,22,24,21,18,23,24,23,22,21,15,10,13,15,20,18,22
6,"2010",19,25,27,17,16,19,18,23,17,19,16,30,22,18,15,17,14,17,21,23,26,28,30,31,33,29,30,22,25,25,
7,"2010",25,29,26,26,28,29,28,28,30,29,30,30,29,30,32,33,35,31,30,31,31,35,36,36,35,37,33,37,38,31,33
8,"2010",30,35,34,37,36,36,35,36,35,32,33,31,30,30,30,28,27,33,22,16,19,18,22,19,26,18,15,13,13,11,15
9,"2010",8,24,13,12,15,14,12,14,18,19,20,17,16,17,23,17,17,15,16,15,16,9,9,16,19,19,20,12,6,9,
10,"2010",8,9,7,7,10,11,12,14,13,13,6,5,3,5,4,3,2,5,5,3,5,5,6,9,9,9,2,2,2,8,9
11,"2010",6,9,9,8,5,4,4,2,12,14,9,9,8,7,12,10,4,2,4,2,-1,-4,-1,2,4,2,0,-8,-15,-16,
12,"2010",-20,-15,-11,-1,-8,-9,-4,-3,-2,-3,-6,-8,-3,-7,-9,-10,-9,-10,-5,-7,-2,-6,-6,-7,-4,-4,-5,-5,-8,-7,-10
1,"2011",-6,-2,-8,-8,-10,-6,-8,-5,-1,1,0,0,-2,0,-4,-12,-12,-12,-12,-9,-11,-8,-6,-5,-7,-10,-11,-9,-3,-2,-7
2,"2011",-6,0,1,1,1,0,-1,-3,-1,-11,-10,-11,-14,-12,-16,-14,-17,-17,-14,-11,-13,-16,-13,-12,-13,-13,-10,-9,,,
3,"2011",-5,-2,-3,1,0,-2,-4,1,4,3,-2,1,6,7,2,-1,2,2,1,2,1,4,2,0,-2,-3,0,3,4,2,0
4,"2011",4,4,13,12,8,8,7,4,2,4,3,2,4,4,8,9,10,12,8,5,12,14,16,17,18,18,20,22,17,17,
5,"2011",10,13,22,23,22,15,20,18,18,19,18,19,15,9,13,14,11,19,19,23,21,23,24,19,23,15,19,23,27,25,24
6,"2011",25,28,23,19,23,21,21,21,24,24,20,22,22,17,20,23,18,21,28,21,23,23,23,23,24,27,28,28,30,,
7,"2011",30,26,28,29,20,24,26,26,23,25,28,30,25,26,29,31,23,28,29,28,29,26,31,31,32,32,33,33,27,28,23
8,"2011",23,13,19,21,21,24,24,27,28,16,15,23,27,30,31,31,28,28,22,21,17,20,22,21,22,21,24,25,27,27,24
9,"2011",18,18,15,16,15,17,18,15,14,14,14,14,15,18,17,14,13,15,17,18,15,16,14,11,12,11,12,13,9,12,
10,"2011",11,6,10,10,15,13,17,21,10,9,8,11,7,4,2,5,7,8,5,11,8,6,7,3,4,5,3,2,3,8,9
11,"2011",8,6,7,6,-1,-5,-1,2,2,1,2,1,1,1,-1,-2,3,2,1,-2,-5,-2,-4,-1,2,1,3,5,2,-1,
12,"2011",-2,-2,2,2,5,3,0,1,-1,1,1,2,0,2,3,2,2,-3,2,-2,-2,-3,-5,-3,-5,0,3,1,-2,2,1
1,"2012",0,-2,-2,1,2,3,2,-1,-2,-3,-2,0,2,-1,-2,-5,-5,-5,-8,-11,-11,-15,-12,-13,-11,-10,-11,-8,-10,-13,-16
2,"2012",-21,-17,-18,-16,-10,-13,-12,-14,-14,-15,-23,-20,-12,-4,-6,-9,-10,-9,-6,-4,-1,0,1,-1,-1,-2,-3,-2,,,
3,"2012",-2,-1,-2,-2,-5,-6,-6,-8,-4,-1,-1,0,2,1,-5,-3,5,5,4,0,0,4,-1,-1,-2,0,1,1,1,2,1
4,"2012",2,4,2,6,1,6,1,4,4,3,7,8,4,12,12,19,20,9,12,16,19,20,18,21,20,25,20,26,29,14,
5,"2012",19,13,17,13,23,19,20,17,17,14,22,27,14,11,19,27,25,17,21,27,28,27,16,15,16,18,20,13,19,23,14
6,"2012",15,20,10,16,20,23,16,20,21,18,22,22,19,19,18,21,24,22,24,22,24,24,24,20,23,24,19,20,17,21,
7,"2012",24,25,22,27,27,27,26,27,29,28,25,30,22,24,27,24,19,22,15,18,20,23,23,24,27,28,28,26,28,29,30
8,"2012",31,25,27,26,29,28,32,26,24,22,16,23,23,16,23,20,22,17,24,18,14,19,21,18,21,19,18,16,15,17,14
9,"2012",12,12,18,18,19,19,14,14,9,12,17,24,23,23,19,14,17,18,19,22,20,17,12,12,12,12,15,23,14,14,
10,"2012",13,15,13,18,16,10,12,6,6,5,9,9,9,8,11,10,13,12,12,14,12,6,0,0,5,2,3,0,1,1,
11,"2012",-1,2,4,10,8,10,5,3,7,0,0,3,5,3,5,5,5,2,-1,3,3,4,3,-2,-4,-1,1,-1,-4,-2,
12,"2012",3,-1,-4,2,-4,-3,-5,-3,-4,-4,-1,-10,-6,-11,-13,-13,-15,-15,-17,-17,-17,-14,-18,-18,-11,-1,0,2,-2,-6,-7
1,"2013",-1,0,-2,1,-1,-4,-4,-7,-10,-10,-12,-11,-11,-6,-7,-7,-9,-12,-11,-12,-12,-12,-12,-8,-10,-10,-9,-11,-5,-4,-2
2,"2013",-2,2,1,-2,-3,1,0,-2,1,2,2,0,-1,-2,-3,-6,-6,-7,-7,-7,-7,-5,-3,1,3,4,2,3,,,
3,"2013",1,-8,-8,-6,-7,-2,1,-6,-4,-4,-5,-3,-6,-2,-1,3,-5,-3,-7,-4,-5,-7,-8,-8,-7,-3,-3,1,5,2,3
4,"2013",2,5,3,5,5,3,1,7,4,7,8,9,10,12,16,17,18,18,22,13,7,8,11,6,6,13,16,10,13,11,
5,"2013",15,17,18,11,12,13,17,24,24,28,27,27,27,30,27,30,24,25,25,25,19,14,17,24,25,18,17,20,18,23,26
6,"2013",26,21,26,25,24,22,19,22,23,26,25,22,21,23,28,24,23,20,21,22,21,16,23,27,24,31,31,31,28,26,
7,"2013",26,28,29,30,29,28,19,24,22,24,26,25,24,22,20,22,21,24,24,19,16,14,18,21,20,22,16,19,19,21,21
8,"2013",22,21,24,20,23,25,26,26,28,29,30,24,26,25,20,22,23,24,23,25,27,27,25,14,16,19,16,20,20,19,17
9,"2013",15,18,18,11,9,11,17,14,18,14,12,14,15,13,11,14,14,18,14,10,11,12,11,10,8,6,8,6,5,2,
10,"2013",4,5,4,6,7,12,10,12,13,14,12,11,12,7,9,10,7,7,3,5,3,2,4,7,11,10,12,12,15,11,8
11,"2013",10,8,8,11,8,16,8,7,8,10,9,4,4,3,3,3,7,3,2,3,3,4,5,5,4,1,-6,2,1,-4,
12,"2013",0,-1,-5,2,-1,0,-2,-3,-8,-10,-8,-3,2,-4,-7,-6,2,2,1,-2,-1,2,2,3,4,2,1,1,3,3,3
1,"2014",1,-2,-2,-2,1,1,2,3,3,2,2,1,-5,-9,-10,-8,-12,-14,-17,-10,-12,-15,-12,-12,-12,-10,-11,-14,-19,-16,-13
2,"2014",-10,-7,-7,-2,-4,-4,-4,-1,1,-3,-5,2,2,4,3,2,1,2,1,1,-1,-1,2,2,4,2,4,3,,,
3,"2014",2,-2,3,1,4,2,6,8,8,13,9,7,8,10,8,2,-1,-2,-4,-4,4,15,14,19,19,9,10,2,2,8,3
4,"2014",1,1,3,2,2,9,6,7,6,4,8,10,13,5,12,8,12,14,18,20,23,21,16,7,15,11,18,17,20,23,
5,"2014",22,16,10,10,6,7,11,21,22,18,16,22,20,20,20,20,18,27,29,29,29,27,26,27,29,29,27,17,13,21,25
6,"2014",26,28,29,29,31,22,21,27,19,16,19,21,15,19,13,14,16,11,17,21,20,17,12,14,17,15,14,9,18,25,
7,"2014",28,27,20,22,23,26,25,25,26,16,14,25,27,30,30,31,26,25,25,26,24,23,26,25,24,26,28,32,31,32,32
8,"2014",32,33,29,27,29,28,24,25,27,27,27,30,19,24,27,20,20,22,24,27,27,17,20,23,18,19,14,17,15,14,15
9,"2014",16,18,13,18,21,20,21,22,20,20,23,23,22,10,15,15,13,14,19,20,19,19,18,11,8,14,14,14,14,12,
10,"2014",5,9,10,9,5,7,6,9,11,14,17,13,17,11,8,2,1,-2,2,2,2,-5,-7,-2,-2,2,6,9,11,7,2
11,"2014",2,0,0,4,4,6,6,9,6,6,5,5,6,3,1,-4,-5,-2,-4,-4,-2,1,-1,-2,-4,-7,-6,-6,-7,-7,
12,"2014",-5,-7,-4,-4,0,-4,-3,-4,-1,-2,0,-2,1,3,1,2,3,2,0,4,2,-1,2,-5,-7,-12,-8,-10,-14,-14,-9
1,"2015",-1,2,2,1,-10,-17,-16,-10,-7,-2,-1,1,2,3,3,0,0,1,2,-3,-10,-9,-5,0,-7,-8,-6,-3,-2,-1,2
2,"2015",2,1,-2,-5,-5,-9,-3,0,-5,-5,-1,2,1,-2,-4,-5,-2,1,-1,3,3,4,2,6,4,4,1,3,,,
3,"2015",1,2,1,1,3,4,3,2,7,10,13,4,6,9,10,10,11,13,13,11,2,-2,1,9,8,0,5,4,5,0,1
4,"2015",1,5,1,6,4,4,7,11,8,12,16,19,13,7,7,8,7,7,-1,1,8,9,11,9,9,14,19,23,22,13,
5,"2015",11,18,11,12,16,16,18,19,20,20,21,21,23,18,12,8,12,10,11,20,25,25,14,19,20,27,29,19,22,25,22
6,"2015",20,23,28,22,15,20,26,22,20,18,19,18,25,28,24,16,20,19,21,22,20,23,23,27,24,24,18,15,21,22,
7,"2015",25,25,21,29,28,19,21,23,27,23,19,17,13,20,20,22,22,22,21,17,18,21,21,22,23,28,26,25,23,23,22
8,"2015",19,20,22,23,22,23,27,26,30,27,25,27,28,20,20,15,14,15,17,21,23,25,23,19,23,27,24,23,20,20,18
9,"2015",17,17,15,16,17,17,14,12,14,12,14,14,"undefined",16,17,19,21,26,21,20,25,18,21,26,28,26,25,11,8,12,
10,"2015",12,14,15,15,17,7,2,2,0,4,3,7,6,7,7,8,9,9,8,1,3,5,2,6,7,7,7,3,3,2,2
11,"2015",7,8,11,6,7,4,2,3,3,4,2,2,3,1,-3,-2,-1,-1,2,5,6,1,-1,1,0,-2,-3,-2,-2,0,
12,"2015",1,1,-1,1,5,5,7,3,1,1,2,-1,1,1,-1,-2,-5,-2,4,4,9,6,5,6,3,3,-2,-5,-7,-6,-9
1,"2016",-15,-15,-13,-17,-14,-12,-11,-12,-12,-12,-14,-10,-6,-3,-10,-8,-4,-9,-7,-8,-9,-10,-13,-13,-12,-10,-3,2,2,2,4
2,"2016",1,-1,3,1,1,-1,1,2,1,2,0,-1,2,-2,3,1,-2,0,-3,-1,-3,-1,3,0,2,3,4,3,1,,
3,"2016",-1,3,0,1,1,3,2,4,9,11,10,2,3,2,3,3,4,-4,-4,-4,-1,-1,1,0,2,6,7,10,8,7,9
4,"2016",4,3,6,8,8,11,7,14,17,11,11,14,16,18,12,3,13,12,12,11,7,9,9,"undefined",15,19,13,17,18,16,
5,"2016",17,20,21,19,12,20,23,24,25,23,26,12,16,18,16,13,14,14,16,14,16,15,19,20,21,25,25,26,24,26,22
6,"2016","undefined",21,19,18,16,8,8,15,13,19,17,11,17,21,24,23,28,28,27,27,28,26,24,26,28,32,27,22,26,26,
7,"2016",28,28,29,28,20,21,20,14,22,22,22,25,26,23,30,28,26,25,27,20,21,19,24,27,24,21,28,26,29,30,28
8,"2016",29,31,20,25,27,29,33,21,25,26,27,15,19,20,14,20,21,25,28,23,26,28,27,24,20,21,27,21,21,23,17
9,"2016",19,22,20,16,15,18,17,17,15,17,15,22,14,13,12,13,10,10,9,12,10,8,8,9,12,13,9,10,8,13,
10,"2016",17,16,19,11,12,9,9,10,8,6,5,4,1,5,4,4,5,3,3,2,2,2,6,3,3,3,0,2,0,0,-2
11,"2016",-2,-2,0,-1,-2,-3,-1,1,-1,-1,-1,-6,-3,-3,-4,-3,-2,-1,3,1,-1,-3,-3,-4,2,0,2,1,-9,-10,
12,"2016",-7,-5,-3,-6,-5,-10,-11,-4,-4,-5,-6,-9,-12,-8,-9,-12,-6,0,-1,-6,1,0,-2,0,-1,0,1,1,-2,-2,0
1,"2017",2,1,-7,-10,-13,-26,-24,-22,-17,-8,-11,-9,-4,-1,-1,0,-2,-4,-3,0,-2,-3,1,1,-11,-12,-2,-1,-6,-7,-8
2,"2017",-2,-7,-5,-10,-7,-13,-16,-12,-5,-2,-1,-5,-8,3,-2,-3,-2,3,2,3,2,-5,-1,2,-1,-1,3,4,,,
3,"2017",5,5,4,5,4,-2,1,5,10,8,7,8,8,8,9,5,6,6,4,4,6,11,10,8,4,6,3,3,1,-1,0
4,"2017",4,7,4,5,11,19,10,5,8,8,19,6,6,3,2,3,0,2,3,4,8,9,7,5,11,19,6,7,23,24,
5,"2017",24,26,15,10,15,19,10,1,4,7,7,7,12,14,17,8,9,19,21,22,11,15,19,23,15,21,16,13,25,17,19
6,"2017",15,9,9,13,11,15,20,23,20,18,20,21,15,15,10,15,20,24,20,22,15,15,13,18,18,22,20,22,24,21,
7,"2017",24,16,16,19,19,19,15,12,16,15,24,18,21,21,24,25,18,21,20,21,22,19,22,23,22,27,29,25,32,22,24
8,"2017",26,27,24,19,22,24,24,23,22,25,22,25,27,25,23,24,25,27,31,31,29,30,24,19,18,19,18,11,13,15,18
9,"2017",21,22,19,17,11,12,17,14,17,21,23,26,22,18,22,16,16,23,13,17,15,15,16,17,15,13,10,9,8,9,
10,"2017",6,4,5,10,9,8,10,11,15,10,8,9,10,7,5,6,11,14,7,7,3,2,1,0,1,-1,0,2,5,5,2
11,"2017",-1,0,2,1,5,7,5,5,4,3,5,4,1,1,3,2,3,2,2,0,-1,-3,-4,-5,-2,-5,-1,,,,
12,"2017",0,2,1,2,-2,-2,-4,-4,1,0,1,0,"undefined",1,2,4,3,1,0,1,1,-3,-3,0,-3,3,2,1,3,1,1
1,"2018",1,2,3,1,-2,2,3,-1,-3,-3,-2,-6,-8,-6,-3,-8,-7,-7,-8,-8,-2,-8,-9,-6,-5,-3,-4,-5,-5,0,-4
2,"2018",-9,-3,1,-8,-11,-11,-7,-7,-5,-7,-4,-3,-6,-6,-7,-5,-4,-3,-3,-5,-8,-9,-9,-10,-13,-14,-13,-13,,,
3,"2018",-8,-9,-7,-9,-7,-7,-4,-2,-1,-5,-2,-2,4,0,-2,-7,-8,-4,2,5,1,0,3,1,6,6,-3,-3,1,3,2
4,"2018",5,7,4,9,10,14,6,12,18,21,6,9,10,12,17,20,20,8,14,14,20,2,7,12,"undefined",11,14,13,16,24,
5,"2018",20,27,23,18,24,16,20,24,18,15,19,25,24,26,19,24,25,21,17,11,20,21,22,23,18,20,23,18,22,23,11
6,"2018",14,23,25,24,11,13,14,12,13,12,20,17,20,16,21,24,24,27,27,22,22,29,28,28,23,25,27,26,27,30,
7,"2018",25,23,19,17,21,23,23,19,18,20,21,26,24,26,27,29,29,21,23,25,24,22,23,20,23,26,28,30,26,24,26
8,"2018",29,28,29,28,25,27,23,21,25,28,28,27,22,23,23,19,23,25,26,23,20,19,20,23,27,28,29,29,30,24,23
9,"2018",24,25,22,24,26,25,24,25,23,19,21,20,21,21,23,14,17,23,25,26,13,12,8,12,11,13,8,11,,,
10,"2018",14,10,10,7,7,13,16,7,9,13,13,14,15,18,18,16,16,18,17,8,8,8,6,5,4,3,5,7,0,2,1
11,"2018",5,9,8,8,6,7,6,3,2,2,-2,-2,-1,1,3,1,2,2,2,-4,0,0,-2,-1,-1,-2,-3,-8,-7,-7,
12,"2018",-8,-5,-4,-4,0,-1,-3,-4,-4,1,1,1,-1,-2,-5,-10,-11,-12,-6,-10,-8,-7,-7,-9,-9,-5,-7,-5,-7,-2,-2
